DE_gene	cluster_DE_id	log2FC_exp	log2FC_pct_exp	pct_cognate_cell_exp	log2FC_ATAC_cognate	cognate_ATAC_access	cognate_ATAC_access1	cognate_ATAC_access2	av_phyloP	distDEgene	score	nearestGene_v2	peakType	keyTF_bool	seqnames	start	end	unique_peak_id	mm_cCREs	mm_cCREs_cat	bool_mm_cCRE_oi	hg_homolog	hg_homolog_ensembl	all_reciprocal_hg_cCREs	restricted_reciprocal_hg_cCREs	gene_set	number_DA_peaks	bool_mm_cCRE	bool_dist	pct_exp	high_DE	very_high_DE	min_access	highly_accessible	high_DA	very_high_DA	moderate_deep_conservation	strong_deep_conservation	bool_ortho_hg_cCRE	bool0	bool_A1	bool_A2	bool_DA1	bool_DA2	bool_DA3	bool_num_DA_peak	bool_OR_all	n_bool_A1	n_bool_A2	n_bool_DA1	n_bool_DA2	n_bool_DA3	n_bool_OR_all
Tubb2b	ecto	3.42068102401906	1.08359181153905	0.977	0.25751021681187	0.000153870661133497	0.000157843848161093	0.00014801226536453	-0.199302	92489	50.88765	Bphl	Promoter	FALSE	chr13	34037364	34037864	chr13_2557	EM10D1346056, EM10D1346057	PLS, pELS	TRUE	TUBB2B	ENSG00000137285			DE	0	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	0	0	0	1
Tubb2b	ecto	3.42068102401906	1.08359181153905	0.977	-0.355315862382796	0.000137562339734867	0.000139918562722416	0.00013408812956426	0.439454	52026	69.02939	Tubb2a	Promoter	FALSE	chr13	34077827	34078327	chr13_2568	EM10D1346095	PLS_CTCF-bound	TRUE	TUBB2B	ENSG00000137285	EH38D3805367	EH38D3805367	DE	0	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	0	0	0	1
Tubb2b	ecto	3.42068102401906	1.08359181153905	0.977	4.40789085805175	0.000164755126270315	0.000153373376477642	0.000181537320102546	0.5195	33876	38.34401	4930447K03Rik	Intronic	FALSE	chr13	34095977	34096477	chr13_2572	EM10D1346113	dELS	TRUE	TUBB2B	ENSG00000137285			DE	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	0	0	0	1
Tubb2b	ecto	3.42068102401906	1.08359181153905	0.977	1.15704443104759	0.000393531438162642	0.000382836130777302	0.000409301484500475	0.267894	0	101.11568	Tubb2b	Promoter	FALSE	chr13	34130258	34130758	chr13_2576	EM10D1346149	PLS	TRUE	TUBB2B	ENSG00000137285	EH38D3805454	EH38D3805454	DE	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0	1	0	0	0	1
Tubb2b	ecto	3.42068102401906	1.08359181153905	0.977	0.181660599468982	0.000182490721033699	0.000187819847797745	0.00017463301550161	0.00929	619	84.06342	Tubb2b	Promoter	FALSE	chr13	34130974	34131474	chr13_2577	EM10D1346151, EM10D1346152	pELS, pELS	TRUE	TUBB2B	ENSG00000137285			DE	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	0	0	0	1
Tubb2b	ecto	3.42068102401906	1.08359181153905	0.977	1.92067937296736	0.000153935566640316	0.000169105971709064	0.000131567065925155	0.042214	1235	35.60161	Tubb2b	Promoter	FALSE	chr13	34131590	34132090	chr13_2578	EM10D1346153	pELS_CTCF-bound	TRUE	TUBB2B	ENSG00000137285	EH38D3805459	EH38D3805459	DE	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	0	0	0	1
Tubb2b	ecto	3.42068102401906	1.08359181153905	0.977	1.93510221515576	0.000264157974047639	0.000264287644875655	0.000263966776647432	0.128222	18496	20.79751	Psmg4	Distal	FALSE	chr13	34148851	34149351	chr13_2583	EM10D1346170, EM10D1346171	dELS_CTCF-bound, dELS	TRUE	TUBB2B	ENSG00000137285	EH38D3805490	EH38D3805490	DE	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	0	0	0	1
Tubb2b	ecto	3.42068102401906	1.08359181153905	0.977	-0.275188595543851	0.000166125743661348	0.000164091963640887	0.000169124517236345	0.346668	32344	86.60873	Psmg4	Promoter	FALSE	chr13	34162699	34163199	chr13_2590	EM10D1346188, EM10D1346189	PLS, pELS	TRUE	TUBB2B	ENSG00000137285	EH38D3805502	EH38D3805502	DE	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	0	0	0	1
Sparc	endo	3.29300979651215	0.355910194316597	0.988	-0.139710986245987	0.000119781098314441	0.000124819874904644	0.000115349873326375	-0.031364	33192	84.13697	Sparc	Distal	FALSE	chr11	55386387	55386887	chr11_7180	EM10D1226686	CTCF-only_CTCF-bound	FALSE	SPARC	ENSG00000113140	EH38D3777707		DE	4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0	4	0	0	0	4
Sparc	endo	3.29300979651215	0.355910194316597	0.988	0.463035834297096	9.88179080904123e-05	0.000102229810877107	9.58173962370695e-05	0.059052	29861	28.33608	Sparc	Distal	FALSE	chr11	55389718	55390218	chr11_7182	EM10D1226691	dELS_CTCF-bound	TRUE	SPARC	ENSG00000113140	EH38D3777712	EH38D3777712	DE	4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0	4	0	0	0	4
Sparc	endo	3.29300979651215	0.355910194316597	0.988	1.59157756293939	0.000342450930821354	0.000348014331195352	0.000337558338678292	0.027002	27125	141.97748	Sparc	Distal	FALSE	chr11	55392454	55392954	chr11_7186			FALSE	SPARC	ENSG00000113140			DE	4	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0	4	0	0	0	4
Sparc	endo	3.29300979651215	0.355910194316597	0.988	2.87286790303628	0.000132619422789001	0.000124519262197924	0.000139742904724739	0.551312	9764	57.27591	Sparc	Intronic	FALSE	chr11	55409815	55410315	chr11_7195	EM10D1226703	dELS	TRUE	SPARC	ENSG00000113140	EH38D3777745	EH38D3777745	DE	4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0	4	0	0	0	4
Sparc	endo	3.29300979651215	0.355910194316597	0.988	3.09536210746665	0.000167023585769555	0.000168467910787022	0.00016575341056061	0.303318	5285	37.55159	Sparc	Intronic	FALSE	chr11	55414294	55414794	chr11_7198	EM10D1226705	dELS	TRUE	SPARC	ENSG00000113140			DE	4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0	4	0	0	0	4
Sparc	endo	3.29300979651215	0.355910194316597	0.988	3.69333939081261	0.000233088252302745	0.000222088089399987	0.000242762068129839	0.131894	4754	76.30451	Sparc	Intronic	FALSE	chr11	55414825	55415325	chr11_7199	EM10D1226706	dELS	TRUE	SPARC	ENSG00000113140	EH38D3777760	EH38D3777760	DE	4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0	4	0	0	0	4
Sparc	endo	3.29300979651215	0.355910194316597	0.988	0.468925853981014	0.000254125418093572	0.000252199442553784	0.000255819168706549	0.62375	1542	115.17619	Sparc	Intronic	FALSE	chr11	55418037	55418537	chr11_7203	EM10D1226714, EM10D1226715	pELS, pELS	TRUE	SPARC	ENSG00000113140			DE	4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0	4	0	0	0	4
